	cnt	date	day_of_week
275	1631	276	3
276	1197	277	4
277	2099	278	5
278	206	279	6
279	1712	280	1
280	2338	281	2
281	2103	282	3
282	1130	283	4
283	1693	284	5
284	170	285	6
285	2057	286	1
286	2160	287	2
287	1519	288	3
288	1357	289	4
289	1698	290	5
290	192	291	6
291	22	292	7
292	2118	293	1
293	2170	294	2
294	1681	295	3
295	1454	296	4
296	1849	297	5
297	778	298	6
298	2290	299	1
299	2126	300	2
300	2309	301	3
301	1288	302	4
302	1654	303	5
303	377	304	6
304	2026	305	1
305	2002	306	2
306	2739	307	3
307	1726	308	4
308	1474	309	5
309	255	310	6
310	2156	311	1
311	1680	312	2
312	1979	313	3
313	1207	314	4
314	1831	315	5
315	278	316	6
316	1587	317	1
317	1514	318	2
318	1584	319	3
319	1365	320	4
320	1642	321	5
321	205	322	6
322	1660	323	1
323	950	324	2
324	4254	325	4
325	4569	326	5
326	649	327	6
327	5202	328	1
328	5090	329	2
329	3488	330	3
330	2171	331	4
331	3075	332	5
332	441	333	6
333	2593	334	1
334	2796	335	2
335	2546	336	3
336	2706	337	4
337	3006	338	5
338	411	339	6
339	3591	340	1
340	3528	341	2
341	3534	342	3
342	2142	343	4
343	3887	344	5
344	324	345	6
345	1659	346	7
346	4320	347	1
347	3957	348	2
348	1598	349	3
349	244	350	4
350	23	351	3
351	19	352	4
352	4061	353	5
353	3332	354	6
354	13	355	7
355	3710	356	1
356	3525	357	2
357	2282	358	3
358	1576	359	4
359	1772	360	5
360	272	361	6
361	18	362	7
362	1835	363	1
363	1904	364	2
364	2040	365	3
365	1532	366	4
366	1905	367	5
367	250	368	6
368	13	369	7
369	2387	370	1
370	3224	371	2
371	2471	372	3
372	1566	373	4
373	1308	374	5
374	305	375	6
375	27	376	7
376	2206	377	1
377	2018	378	2
378	1722	379	3
379	1437	380	4
380	1064	381	5
381	390	382	6
382	2065	383	1
383	1802	384	2
384	1693	385	3
385	1392	386	4
386	1129	387	5
387	239	388	6
388	1932	389	1
389	2848	390	2
390	1933	391	3
391	1124	392	4
392	1500	393	5
393	222	394	6
394	1582	395	1
395	2051	396	2
396	2954	397	3
397	1534	398	4
398	2473	399	5
399	139	400	6
400	25	401	7
401	1739	402	1
402	1915	403	2
403	1787	404	3
404	1668	405	4
405	1348	406	5
406	25	407	6
407	22	408	7
408	59	409	1
409	3076	410	2
410	2469	411	3
411	1603	412	4
412	1460	413	5
413	182	414	6
414	1901	415	1
415	1870	416	2
416	1682	417	3
417	2176	418	4
418	1885	419	5
419	357	420	6
420	22	421	7
421	2070	422	1
422	2607	423	2
423	1803	424	3
424	1100	425	4
425	2248	426	5
426	230	427	6
427	1901	428	1
428	2174	429	2
429	1863	430	3
430	12	431	5
431	72	432	6
432	2590	433	7
433	1621	434	1
434	2257	435	2
435	2025	436	3
436	2284	437	4
437	1628	438	5
438	191	439	6
439	1599	440	1
440	1857	441	2
441	1755	442	3
442	1230	443	4
443	1686	444	5
444	263	445	6
445	18	446	7
446	1812	447	1
447	1841	448	2
448	1090	449	3
449	1253	450	4
450	1545	451	5
451	123	452	6
452	1862	453	1
453	1769	454	2
454	1302	455	3
455	1201	456	4
456	2338	457	5
457	153	458	6
458	47	459	7
459	2908	460	2
460	1661	461	3
461	1081	462	4
462	1774	463	5
463	124	464	6
464	13	465	7
465	1919	466	1
466	1288	467	2
467	1073	468	3
468	1025	469	4
469	1383	470	5
470	212	471	6
471	1489	472	1
472	1713	473	2
473	1952	474	3
474	1227	475	4
475	1370	476	5
476	133	477	6
477	1616	478	1
478	2016	479	2
479	2483	480	3
480	1467	481	4
481	2049	482	5
482	291	483	6
483	1184	484	1
484	2822	485	2
485	2027	486	3
486	1542	487	4
487	1754	488	5
488	107	489	6
489	1983	490	1
490	2209	491	2
491	1731	492	3
492	1266	493	4
493	1494	494	5
494	152	495	6
495	2065	496	1
496	2072	497	2
497	1792	498	3
498	1512	499	4
499	1853	500	5
500	248	501	6
501	1740	502	1
502	1739	503	2
503	1495	504	3
504	1656	505	4
505	1244	506	5
506	41	507	6
507	1755	508	1
508	1749	509	2
509	1313	510	3
510	1175	511	4
511	1391	512	5
512	248	513	6
513	2022	514	1
514	2787	515	2
515	1658	516	3
516	1023	517	4
517	1545	518	5
518	207	519	6
519	2076	520	1
520	1416	521	2
521	1421	522	3
522	1130	523	4
523	1377	524	5
524	248	525	6
525	1867	526	1
526	1941	527	2
527	1707	528	3
528	1510	529	4
529	1065	530	5
530	305	531	6
531	13	532	7
532	1824	533	1
533	2049	534	2
534	1371	535	3
535	1299	536	4
536	1752	537	5
537	212	538	6
538	2764	539	1
539	2466	540	2
540	2079	541	3
541	1471	542	4
542	2344	543	5
543	218	544	6
544	4044	545	2
545	2265	546	3
546	1602	547	4
547	2033	548	5
548	317	549	6
549	2209	550	1
550	2231	551	2
551	1190	552	3
552	1413	553	4
553	2097	554	5
554	205	555	6
555	2156	556	1
556	2219	557	2
557	1801	558	3
558	1657	559	4
559	2965	560	5
560	382	561	6
561	1268	562	7
562	2915	563	1
563	3137	564	2
564	132	565	3
565	52	566	1
566	15	567	2
567	4783	568	3
568	2396	569	4
569	2454	570	5
570	1964	571	6
571	35	572	7
572	3096	573	1
573	2441	574	2
574	2282	575	3
575	1467	576	4
576	1432	577	5
577	193	578	6
578	1792	579	1
579	2085	580	2
580	1967	581	3
581	1312	582	4
582	1381	583	5
583	218	584	6
584	1993	585	1
585	2389	586	2
586	2061	587	3
587	2394	588	4
588	1579	589	5
589	15	590	6
590	2136	591	1
591	1946	592	2
592	1762	593	3
593	1342	594	4
594	1718	595	5
595	256	596	6
596	2041	597	1
597	1692	598	2
598	1867	599	3
599	1085	600	4
600	1932	601	5
601	245	602	6
602	22	603	7
603	2175	604	1
604	2356	605	2
605	1869	606	3
606	1468	607	4
607	1756	608	5
608	246	609	6
609	1863	610	1
610	2242	611	2
611	1585	612	3
612	1243	613	4
613	1409	614	5
614	344	615	6
615	2294	616	1
616	1778	617	2
617	1755	618	3
618	1641	619	4
619	1459	620	5
620	261	621	6
621	2024	622	1
622	2490	623	2
623	1504	624	3
624	1695	625	4
625	1706	626	5
626	138	627	6
627	2113	628	1
628	2036	629	2
629	1729	630	3
630	1332	631	4
631	1977	632	5
632	186	633	6
633	1593	634	1
634	3091	635	2
635	1960	636	3
636	769	637	4
637	1844	638	5
638	140	639	6
639	25	640	7
640	2167	641	1
641	1292	642	2
642	1278	643	3
643	75	644	4
644	7063	645	7
645	5804	646	1
646	7226	647	2
647	3616	648	3
648	5742	649	4
649	4501	650	5
650	796	651	6
651	4259	652	1
652	3472	653	2
653	2482	654	3
654	2722	655	4
655	2869	656	5
656	448	657	6
657	24	658	7
658	3425	659	1
659	2794	660	2
660	2954	661	3
661	2501	662	4
662	2883	663	5
663	699	664	6
664	24	665	7
665	2692	666	1
666	3526	667	2
667	3877	668	3
668	2546	669	4
669	2709	670	5
670	471	671	6
671	3469	672	1
672	3498	673	2
673	3835	674	3
674	2530	675	4
675	2564	676	5
676	367	677	6
677	4217	678	1
678	4630	679	2
679	3877	680	3
680	4141	681	4
681	3701	682	5
682	652	683	6
683	2663	684	7
684	4903	685	1
685	2040	686	2
686	23	687	2
687	4712	688	3
688	4395	689	4
689	3661	690	5
690	2073	691	6
691	4832	692	1
692	4032	693	2
693	2054	694	3
694	1477	695	4
695	1808	696	5
696	290	697	6
697	2028	698	1
698	2479	699	2
699	1426	700	3
700	1693	701	4
701	1626	702	5
702	236	703	6
703	2508	704	1
704	2491	705	2
705	1907	706	3
706	1524	707	4
707	1664	708	5
708	948	709	6
709	2617	710	1
710	2325	711	2
711	2451	712	3
712	1140	713	4
713	1696	714	5
714	376	715	6
715	2280	716	1
716	2007	717	2
717	1784	718	3
718	1102	719	4
719	1902	720	5
720	55	721	6
721	13	722	1
722	3380	723	2
723	2690	724	3
724	1348	725	4
725	2035	726	5
726	139	727	6
727	20	728	7
728	2044	729	1
729	2024	730	2
730	1455	731	3
731	1354	732	4
732	1310	733	5
733	275	734	6
734	2424	735	1
735	2985	736	2
736	2014	737	3
737	1105	738	4
738	1524	739	5
739	378	740	6
740	2491	741	1
741	2830	742	2
742	2155	743	3
743	2017	744	4
744	27	745	5
745	3150	746	1
746	2383	747	2
747	2824	748	3
748	1876	749	4
749	2054	750	5
750	321	751	6
751	2384	752	1
752	2472	753	2
753	1881	754	3
754	1816	755	4
755	1361	756	5
756	314	757	6
757	3309	758	1
758	1948	759	2
759	1722	760	3
760	1520	761	4
761	2232	762	5
762	497	763	6
763	2037	764	1
764	2246	765	2
765	1447	766	3
766	1478	767	4
767	1631	768	5
768	128	769	6
769	2102	770	1
770	2114	771	2
771	1964	772	3
772	1427	773	4
773	1416	774	5
774	319	775	6
775	2147	776	1
776	1925	777	2
777	1668	778	3
778	1692	779	4
779	1517	780	5
780	381	781	6
781	2327	782	1
782	1926	783	2
783	1387	784	3
784	1533	785	4
785	1946	786	5
786	89	787	6
787	3157	788	2
788	1933	789	3
789	1257	790	4
790	2051	791	5
791	472	792	6
792	2031	793	1
793	1465	794	2
794	2291	795	3
795	1380	796	4
796	1659	797	5
797	401	798	6
798	2248	799	1
799	3005	800	2
800	2281	801	3
801	1062	802	4
802	1675	803	5
803	304	804	6
804	2034	805	1
805	2520	806	2
806	1944	807	3
807	1398	808	4
808	1384	809	5
809	288	810	6
810	1804	811	1
811	2255	812	2
812	1893	813	3
813	1193	814	4
814	1907	815	5
815	185	816	6
816	1304	817	1
817	2076	818	2
818	1754	819	3
819	1155	820	4
820	1613	821	5
821	410	822	6
822	2437	823	1
823	2596	824	2
824	1823	825	3
825	1951	826	4
826	1983	827	5
827	297	828	6
828	2186	829	1
829	1608	830	2
830	2334	831	3
831	2051	832	4
832	1795	833	5
833	346	834	6
834	1926	835	1
835	1902	836	2
836	1604	837	3
837	1357	838	4
838	1893	839	5
839	227	840	6
840	24	841	7
841	2270	842	1
842	2200	843	2
843	1738	844	3
844	1327	845	4
845	1254	846	5
846	498	847	6
847	20	848	7
848	2616	849	1
849	2477	850	2
850	2305	851	3
851	12	852	4
852	3354	853	7
853	1800	854	1
854	2684	855	2
855	1475	856	3
856	1783	857	4
857	1625	858	5
858	309	859	6
859	1990	860	1
860	2256	861	2
861	2032	862	3
862	1183	863	4
863	1565	864	5
864	254	865	6
865	1983	866	1
866	2445	867	2
867	2312	868	3
868	1510	869	4
869	2380	870	5
870	61	871	6
871	3279	872	1
872	3804	873	2
873	3046	874	3
874	13	875	5
875	15	876	7
876	88	877	3
877	4354	878	4
878	3418	879	5
879	2489	880	6
880	2584	881	1
881	3546	882	2
882	2458	883	3
883	2065	884	4
884	1816	885	5
885	263	886	6
886	28	887	7
887	2407	888	1
888	3639	889	2
889	2551	890	3
890	1925	891	4
891	1989	892	5
892	181	893	6
893	2569	894	1
894	2019	895	2
895	1900	896	3
896	1180	897	4
897	1886	898	5
898	322	899	6
899	2615	900	1
900	2594	901	2
901	1760	902	3
902	1590	903	4
903	1994	904	5
904	409	905	6
905	24	906	7
906	3017	907	1
907	2538	908	2
908	2019	909	3
909	1667	910	4
910	1876	911	5
911	498	912	6
912	2237	913	1
913	2268	914	2
914	1898	915	3
915	1870	916	4
916	2174	917	5
917	540	918	6
918	2397	919	1
919	1947	920	2
920	2057	921	3
921	1860	922	4
922	2270	923	5
923	409	924	6
924	3666	925	1
925	2535	926	2
926	2063	927	3
927	1497	928	4
928	2170	929	5
929	312	930	6
930	2228	931	1
931	2098	932	2
932	2725	933	3
933	1491	934	4
934	2140	935	5
935	450	936	6
936	2057	937	1
937	2181	938	2
938	2339	939	3
939	1414	940	4
940	2924	941	5
941	482	942	6
942	1611	943	1
943	2771	944	2
944	3477	945	3
945	1565	946	4
946	2158	947	5
947	800	948	6
948	15	949	7
949	2555	950	1
950	1839	951	2
951	2331	952	3
952	772	953	4
953	70	954	5
954	33	955	6
955	6421	956	1
956	7069	957	2
957	5017	958	3
958	3192	959	4
959	4838	960	5
960	1063	961	6
961	5227	962	1
962	3848	963	2
963	3631	964	3
964	1899	965	4
965	2978	966	5
966	657	967	6
967	3859	968	1
968	4572	969	2
969	3687	970	3
970	2851	971	4
971	2644	972	5
972	429	973	6
973	3637	974	1
974	3865	975	2
975	3499	976	3
976	2374	977	4
977	3880	978	5
978	755	979	6
979	5594	980	1
980	5592	981	2
981	4690	982	3
982	4243	983	4
983	4763	984	5
984	1564	985	6
985	24	986	4
986	3664	987	7
987	3610	988	1
988	5537	989	2
989	3369	990	3
990	3054	991	4
991	2735	992	5
992	780	993	6
993	3037	994	1
994	3315	995	2
995	2221	996	3
996	1541	997	4
997	1883	998	5
998	564	999	6
999	2525	1000	1
1000	2627	1001	2
1001	2374	1002	3
1002	1618	1003	4
1003	2259	1004	5
1004	426	1005	6
1005	2203	1006	1
1006	2344	1007	2
1007	2392	1008	3
1008	1870	1009	4
1009	1772	1010	5
1010	610	1011	6
1011	2437	1012	1
1012	2326	1013	2
1013	1954	1014	3
1014	1569	1015	4
1015	1777	1016	5
1016	442	1017	6
1017	2476	1018	1
1018	1934	1019	2
1019	2048	1020	3
1020	1586	1021	4
1021	2268	1022	5
1022	506	1023	6
1023	3439	1024	1
1024	3208	1025	2
1025	2277	1026	3
1026	2144	1027	4
1027	2519	1028	5
1028	195	1029	6
1029	4003	1030	2
1030	2513	1031	3
1031	1306	1032	4
